[2024-05-31 12:29:07,838] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:29:08,011] INFO in _client: HTTP Request: GET http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:29:08,021] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:29:08,030] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:29:08,040] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:31:02,873] INFO in item: Creating item with title=Test Item
[2024-05-31 12:31:02,891] INFO in _client: HTTP Request: POST http://testserver/api/v1/items/ "HTTP/1.1 200 OK"
[2024-05-31 12:31:02,897] INFO in _client: HTTP Request: GET http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:31:03,073] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:31:03,082] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:31:03,092] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:36:41,781] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:36:41,947] INFO in _client: HTTP Request: GET http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:36:41,957] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:36:41,969] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:36:41,977] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:41:47,742] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:41:47,900] INFO in _client: HTTP Request: GET http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:41:47,909] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:41:47,919] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:41:47,929] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:42:31,115] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:42:31,273] INFO in _client: HTTP Request: GET http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:42:31,283] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:42:31,293] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
[2024-05-31 12:42:31,302] INFO in _client: HTTP Request: POST http://testserver/items/ "HTTP/1.1 404 Not Found"
